Name,Round64,Round32,Sweet16,Elite8,Final4,CHAMPIONSHIP
Master,E01E08E05E04E11E03E07E02W01W08W05W04W11W03W07W02M01M09M05M04M11M03M07M02S01S08S12S04S06S03S10S02,E08E04E03E07W01W04W11W02M01M04M03M07S01S04S03S02,E04E07W01W11M01M03S01S02,E07W01M03S01,W01S01,S01
Player 1,E01E08E12E04E06E03E07E02W01W09W12W13W06W03W07W02M01M08M12M04M06M03M07M02S01S08S12S04S06S03S10S02,E01E04E03E02W01W12W03W02M01M04M03M02S01S04S06S02,E01E02W01W02M01M02S01S02,E01W02M02S01,E01M02,M02
Player 2,E01E08E05E04E06E03E07E02W01W09W12W04W06W03W07W02M01M08M05M04M06M03M07M02S01S08S05S04S06S03S10S02,E01E04E06E02W01W12W03W02M01M04M03M02S01S04S03S02,E01E02W01W02M01M02S01S02,E01W02M01S02,E01M01,M01
Player 3,E01E09E05E04E06E03E07E02W01W08W05W04W06W03W07W02M01M09M05M04M06M03M10M02S01S09S05S04S06S03S10S02,E01E04E03E02W01W05W06W02M01M04M06M02S01S05S03S02,E01E02W01W02M01M02S01S03,E01W02M02S03,E01M02,E01
Player 4,E01E08E05E04E06E03E10E02W01W09W05W04W06W03W07W02M01M09M05M04M06M03M07M02S01S09S05S04S06S03S07S02,E01E04E03E02W01W05W03W02M01M05M03M02S01S04S03S02,E01E02W01W02M01M02S01S03,E01W02M01S01,E01S01,S01
Player 5,E01E09E05E04E06E03E10E02W01W09W05W04W06W03W07W02M01M09M05M04M06M03M07M02S01S08S05S04S06S03S10S02,E01E05E03E02W01W05W03W02M01M04M03M02S01S04S03S02,E01E02W01W03M01M03S01S02,E01W01M01S01,E01S01,S01
Player 6,E01E09E05E04E06E03E10E02W01W09W05W04W06W03W10W02M01M09M05M04M06M03M10M02S01S08S05S04S11S03S07S02,E01E04E03E02W01W05W06W02M01M05M03M02S01S05S03S02,E04E02W01W02M01M02S01S03,E02W01M01S01,W01S01,S01
Player 7,E01E09E12E04E06E03E10E02W01W09W05W13W11W03W07W02M01M08M12M13M06M03M07M02S01S08S12S13S06S03S10S02,E01E04E03E10W01W13W11W07M01M13M03M07S01S12S03S10,E01E10W01W11M01M03S01S03,E01W01M03S03,E01S03,E01
Dick Vitale,E01E08E05E04E06E03E10E02W01W08W05W04W11W03W10W02M01M08M05M04M11M03M10M02S01S09S12S04S11S03S10S02,E01E05E06E02W01W05W03W02M01M05M03M02S01S12S03S02,E01E02W01W02M01M02S01S02,E02W01M02S01,W01S01,S01
Player 8,E01E08E12E04E06E03E10E02W01W09W05W13W11W03W07W02M01M09M05M13M11M14M07M02S01S09S05S13S06S03S07S02,E01E04E03E02W01W05W03W07M01M05M11M02S01S05S03S02,E01E02W01W03M01M02S01S03,E02W01M01S01,E02M01,E02
FiveThirtyEight,E01E08E05E04E06E03E07E02W01W09W05W04W06W03W07W02M01M08M05M04M06M03M07M02S01S08S05S04S06S03S10S02,E01E05E06E02W01W04W06W02M01M04M03M02S01S04S03S02,E01E02W01W02M01M02S01S02,E01W01M01S02,E01M01,E01
Gary Clark 1,E01E08E05E04E06E03E10E02W01W09W05W04W06W03W10W02M01M09M05M04M06M03M07M02S01S09S05S04S06S03S07S02,E01E05E03E02W01W04W03W02M01M05M03M02S01S04S03S02,E01E02W01W02M01M02S01S03,E02W01M01S01,W01S01,S01
Gary Clark 2,E01E08E05E04E06E03E10E02W01W09W05W04W11W03W07W02M01M08M05M04M11M03M10M02S01S08S05S04S06S03S10S02,E01E05E03E02W01W04W03W02M01M04M03M02S01S04S03S02,E01E02W01W02M01M02S01S02,E01W01M01S02,W01M01,M01
Gary Clark 3,E01E08E05E04E06E03E07E02W01W09W05W04W11W03W07W02M01M09M05M04M11M03M07M02S01S08S12S04S06S03S10S02,E01E05E03E02W01W04W11W02M01M05M03M02S01S04S03S02,E01E02W04W02M01M02S04S03,E01W04M01S03,E01M01,E01
Player 9,E01E08E12E13E06E03E07E02W01W09W05W04W11W14W07W02M01M09M05M04M11M03M07M02S01S09S12S04S06S03S10S02,E01E12E06E02W01W05W14W02M01M04M11M07S01S04S03S02,E01E02W01W02M01M07S01S03,E02W01M07S01,W01S01,W01
Player 10,E01E09E05E04E06E03E07E02W01W09W05W04W11W03W07W02M01M08M05M04M06M03M10M02S01S08S05S04S06S03S07S02,E01E04E03E02W01W04W11W02M01M04M03M02S01S04S06S02,E01E02W01W02M01M02S01S02,E01W02M01S02,W02M01,M01
Player 11,E01E09E12E04E11E03E07E15W01W08W05W04W11W03W07W02M01M09M05M04M06M03M10M02S01S08S05S04S06S03S07S02,E01E04E03E07W01W04W11W07M01M04M03M02S01S04S03S02,E01E07W01W11M04M03S01S03,E01W01M03S03,W01S03,W01
Player 12,E01E09E05E04E06E03E07E02W01W09W05W04W06W03W07W02M01M08M05M04M06M03M07M02S01S09S05S04S06S03S10S02,E01E04E03E02W01W05W03W07M01M04M03M02S01S04S03S02,E01E03W01W03M01M02S04S02,E03W01M01S02,E03S02,E03
Player 13,E01E08E05E04E06E03E07E02W01W08W05W04W06W03W07W02M01M08M05M04M06M03M07M02S01S08S05S04S06S03S07S02,E01E04E03E02W01W05W03W02M01M04M03M07S01S04S03S02,E01E03W01W02M01M03S01S02,E01W02M01S01,E01M01,E01
Player 14,E01E09E05E04E06E03E10E15W01W08W05W13W11W03W10W02M01M09M05M04M11M14M07M02S16S09S05S04S11S03S07S02,E09E04E06E15W01W05W03W02M09M04M14M02S09S04S03S07,E04E06W05W03M04M02S09S07,E04W05M02S09,E04S09,E04
Player 15,E01E08E05E04E06E03E07E02W01W09W12W04W06W14W10W15M01M08M05M04M06M14M07M02S16S09S12S04S11S03S10S15,E01E05E03E02W09W12W14W15M08M04M06M07S09S04S03S10,E01E03W09W14M08M07S09S03,E01W09M07S09,E01S09,E01
Player 16,E16E08E12E04E11E14E07E02W01W09W12W04W06W14W10W15M01M09M05M13M06M03M10M02S01S08S05S13S11S03S07S02,E08E04E14E02W09W12W14W15M09M13M06M02S01S13S11S07,E08E14W09W14M13M02S13S11,E14W09M02S11,E14M02,M02
Player 17,E01E09E05E04E11E03E07E02W01W08W05W04W11W03W07W02M01M09M05M04M06M03M10M02S01S09S05S04S11S03S07S02,E01E05E03E02W01W05W03W02M01M04M03M02S01S04S03S02,E01E03W01W02M01M02S01S02,E01W02M01S02,E01S02,S02
Player 18,E01E09E05E04E11E03E07E02W01W08W05W04W11W03W07W02M01M09M05M04M06M03M10M02S01S09S05S04S11S03S07S02,E01E05E03E02W01W05W03W02M01M04M03M02S01S04S03S02,E01E03W01W02M01M02S01S02,E03W02M02S01,E03S01,S01
Player 19,E01E08E05E04E06E14E07E02W01W08W05W04W06W14W10W02M01M08M05M04M06M03M10M02S01S08S05S04S11S03S10S02,E01E05E06E02W01W04W14W02M08M04M03M10S08S04S03S02,E05E02W04W02M04M03S08S03,E02W02M04S03,E02S03,E02
Player 20,E16E08E12E13E11E14E10E02W01W08W05W13W11W14W07W15M01M09M05M04M06M14M10M02S01S09S12S04S11S14S07S15,E08E12E11E10W01W05W11W07M09M04M14M10S01S04S11S15,E08E10W05W07M04M10S04S15,E08W05M10S15,E08S15,S15
Player 21,E01E09E05E04E06E03E10E02W01W09W05W04W06W03W07W02M01M08M05M04M06M03M10M02S01S08S05S04S06S03S10S02,E01E04E06E02W01W05W03W02M01M05M03M02S01S04S03S02,E04E02W05W03M01M02S01S03,E04W03M02S03,E04S03,E04
Player 22,E01E08E05E04E06E03E07E02W01W09W05W04W11W03W10W02M01M09M05M04M06M03M07M02S01S09S05S04S06S03S10S02,E01E04E06E02W01W04W11W02M01M05M03M02S01S04S03S02,E04E02W04W02M01M03S01S03,E02W02M01S01,E02M01,E02
Player 23,E01E09E12E04E06E03E07E02W01W08W05W04W11W03W07W02M01M09M12M04M06M03M07M02S01S09S05S04S11S03S07S02,E01E12E06E02W01W05W11W02M01M04M03M07S01S04S03S07,E01E02W01W02M01M03S04S03,E01W01M01S03,W01M01,M01
Player 24,E01E09E05E04E11E03E10E02W01W08W05W04W11W03W07W02M01M09M05M04M06M03M10M02S01S09S05S04S06S03S07S02,E01E04E03E02W01W05W03W02M01M04M03M02S01S05S03S02,E01E02W01W02M04M03S01S02,E02W02M03S02,W02S02,W02
Player 25,E16E09E05E04E06E14E10E02W16W09W05W04W06W14W07W02M01M09M12M04M06M14M10M02S16S09S05S04S06S03S07S02,E16E04E14E02W09W05W06W02M01M04M06M02S09S04S06S02,E04E02W05W02M04M02S04S02,E04W05M04S02,E04S02,S02
Player 26,E01E09E05E04E06E14E10E02W01W09W05W04W06W03W10W02M01M09M12M04M11M14M10M02S01S08S12S04S06S03S10S02,E01E04E14E02W01W05W03W10M09M04M14M02S01S04S03S02,E01E02W01W10M04M02S01S03,E02W01M02S01,E02S01,E02
Player 27,E01E09E05E04E06E03E07E02W01W09W05W04W06W03W07W02M01M09M05M04M06M03M07M02S01S09S05S04S06S03S07S02,E01E04E03E02W01W04W03W02M01M04M03M07S01S04S03S07,E01E03W01W02M04M03S01S03,E01W01M03S01,E01S01,E01
Player 28,E16E08E12E04E11E03E10E02W16W09W12W13W11W03W07W02M01M09M12M04M11M14M10M02S16S08S12S13S11S03S07S02,E16E04E03E02W16W12W11W07M09M12M14M02S16S13S11S02,E04E03W12W11M09M02S16S11,E03W11M09S16,E03S16,S16
Player 29,E16E08E12E04E06E14E07E02W16W09W12W13W11W03W07W02M01M09M12M04M11M14M10M02S16S08S05S04S11S03S10S02,E16E04E06E02W16W12W11W07M09M12M14M02S08S05S11S02,E04E02W12W11M09M02S08S11,E04W11M09S11,E04M09,M09
Player 30,E01E09E05E04E06E03E10E02W01W09W12W04W11W03W10W02M01M09M05M13M06M03M10M02S01S09S05S04S11S03S07S02,E09E04E06E02W01W04W11W02M01M13M06M10S01S05S03S02,E09E06W01W02M13M10S01S02,E06W01M10S02,E06S02,E06
Player 31,E01E08E05E04E06E03E10E02W01W08W12W04W06W03W10W02M01M09M05M13M06M03M10M02S01S09S05S04S11S03S07S02,E01E04E03E02W01W04W03W02M01M13M03M02S01S04S03S02,E04E03W01W02M13M02S01S02,E03W01M13S02,W01S02,S02
The Machine,E01E09E05E04E06E03E07E02W01W08W05W04W11W03W07W02M01M09M05M04M06M03M10M02S01S08S05S04S06S03S10S02,E01E05E03E02W01W04W03W07M01M05M03M02S01S04S03S02,E01E03W01W03M01M02S01S02,E01W03M01S02,E01M01,E01
Player 32,E01E09E05E04E06E03E10E02W01W09W05W13W06W03W07W02M01M09M05M04M11M03M07M02S01S09S05S04S11S03S10S02,E09E04E03E02W01W05W03W02M01M04M03M02S01S05S03S02,E04E03W05W03M01M02S01S03,E03W05M01S03,E03S03,E03
Player 33,E01E08E05E13E06E03E07E02W01W08W05W04W11W14W07W02M01M08M05M04M11M03M07M02S01S08S05S04S11S03S10S02,E01E13E06E02W01W04W11W02M01M04M03M02S01S04S03S02,E01E02W04W02M01M03S01S03,E02W02M01S03,E02M01,M01
Player 34,E01E08E05E04E06E03E10E02W01W09W05W04W06W03W10W02M01M08M05M13M06M03M10M15S01S08S12S04S11S03S10S02,E01E05E03E02W01W05W03W02M01M05M03M10S01S12S03S02,E01E02W01W03M01M03S01S03,E02W01M01S01,E02M01,M01
Player 35,E01E08E05E04E06E03E07E02W01W09W05W04W06W03W07W02M01M09M05M04M06M03M07M02S01S08S05S04S06S03S07S02,E08E04E03E02W01W04W03W02M01M04M03M02S01S04S06S02,E04E03W04W02M01M02S01S02,E04W02M01S02,E04M01,M01
Player 36,E01E09E12E04E06E03E07E02W01W09W05W04W11W03W07W15M01M09M05M04M11M14M10M15S01S08S05S13S06S03S10S02,E01E12E03E02W09W05W11W15M01M04M11M10S08S05S03S02,E01E02W05W11M04M10S05S02,E02W05M04S02,E02M04,E02
